method,runtime_seconds,peak_ram_mb,peak_vram_mb,parameter_count,mean_inference_time
traclus,0.2400195000000167,1140.996,7215.883;308.0,,
st_dbscan,0.2527992000000267,1155.66,7215.883;308.0,,
vector_field_kmeans,1.6965280999997958,1162.039,7220.57;308.0,,
spatiotemporal_clustering,0.1209922999996706,1162.328,7221.07;308.0,,
cnn_segment_classifier,3.07611629999974,651.301,7220.57;308.0,33321.0,0.0
lstm_baseline,12.52480229999992,703.242,7221.07;308.0,116364.0,0.0
lstm_class_aware,12.52480229999992,703.242,7221.07;308.0,119508.0,0.0
sparse_pointcloud_clean,2.854954700000235,975.125,7215.945;308.0,,
sparse_pointcloud_medium,2.9575635000001057,978.02,7221.07;308.0,,
sparse_pointcloud_hard,2.5757548000001407,979.016,7220.32;308.0,,
cluster_filter_clean,4.27919699999984,981.316,7220.633;308.0,,
cluster_filter_medium,3.933802699999888,982.207,7220.57;308.0,,
cluster_filter_hard,3.063323500000024,980.867,7215.883;308.0,,
cl_det_clean,3.5943975000000137,980.867,7215.945;308.0,,
cl_det_medium,3.720613299999968,980.852,7215.883;308.0,,
cl_det_hard,3.3113830000002054,980.852,7221.07;308.0,,
resnet_hdbscan_family,11.090844199999992,1025.117,7221.07;308.0,117065.0,0.0
